Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
Afghanistan,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,25.878,27.028,28.212,30.31,31.407,32.584,34.159,34.771,2018
Albania,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,29.137,29.265,29.668,29.287,29.253,28.896,28.56,28.579,2018
Algeria,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,39.205,38.138,38.722,34.286,32.74,30.125,27.547,27.471,2018
Angola,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,23.806,19.695,19.205,20.8,20.685,20.411,19.91,19.548,2018
Antigua and Barbuda,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,23.243,24.909,24.513,23.765,23.868,24.114,23.943,24.181,2018
Argentina,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,41.181,38.896,37.564,36.861,37.042,37.283,37.74,38.275,2018
Armenia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,26.027,23.476,25.016,26.114,25.725,25.891,26.055,26.14,2018
Aruba,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,28.353,27.9,27.592,27.769,27.687,27.536,27.415,27.287,2018
Australia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,36.706,36.662,36.721,36.962,36.262,35.56,35.178,35.202,2018
Austria,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,48.984,48.494,47.927,48.258,48.214,47.953,47.841,47.82,2018
Azerbaijan,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,35.593,33.146,34.72,34.428,34.41,33.957,33.275,32.457,2018
The Bahamas,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,22.671,19.998,21.707,25.417,22.885,21.841,21.148,20.653,2018
Bahrain,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,32.413,33.71,30.453,29.857,29.682,28.611,28.036,27.012,2018
Bangladesh,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,13.56,14.302,14.753,15.042,14.928,14.818,14.66,14.63,2018
Barbados,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,32.898,29.578,27.876,28.126,28.581,28.973,29.49,30.069,2019
Belarus,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,39.042,37.47,39.093,40.559,37.954,38.193,38.458,38.826,2018
Belgium,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,52.131,52.38,52.109,52.02,52.075,52.169,52.137,52.131,2018
Belize,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,34.89,31.322,31.367,31.287,31.229,31.159,31.02,31.11,2018
Benin,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,17.785,16.554,16.625,16.214,16.15,16.024,16.002,15.872,2018
Bhutan,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,30.606,31.951,23.433,26.953,27.708,24.763,18.362,22.71,2018
Bolivia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,38.598,37.094,36.499,35.794,34.957,34.005,33.068,32.086,2017
Bosnia and Herzegovina,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,40.681,41.04,40.612,41.027,40.714,40.767,40.775,40.885,2018
Botswana,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,31.988,31.226,31.642,30.559,28.908,28.09,27.782,27.595,2019
Brazil,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,38.477,38.491,38.298,37.683,37.109,36.968,36.84,36.426,2018
Brunei Darussalam,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,36.579,32.155,35.393,35.478,34.943,34.132,33.549,32.873,2018
Bulgaria,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,32.548,34.953,38.309,35.556,35.259,35.063,35.349,34.478,2018
Burkina Faso,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,29.955,27.235,27.422,26.117,26.396,26.864,27.064,27.265,2018
Burundi,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,21.803,22.325,22.699,23.482,24.314,25.095,26.913,29.014,2015
Cabo Verde,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,31.572,31.031,34.029,31.999,30.217,29.931,29.825,29.772,2018
Cambodia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,22.375,24.624,24.959,24.701,24.658,24.624,24.697,24.648,2018
Cameroon,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,19.827,18.546,18.218,17.775,17.797,17.881,17.829,17.873,2017
Canada,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,40.25,40.655,40.697,40.828,40.741,40.722,40.685,40.585,2018
Central African Republic,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,13.862,16.267,17.409,18.301,17.465,17.378,17.31,17.353,2018
Chad,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,14.88,13.332,15.281,14.599,14.53,14.149,14.258,14.29,2017
Chile,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,25.371,25.363,25.384,25.279,24.775,24.159,23.833,23.487,2018
China,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,32.179,34.094,34.949,35.457,34.987,34.763,34.445,34.104,2018
Colombia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,28.109,28.102,28.502,27.425,26.863,26.681,26.717,26.22,2018
Comoros,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,16.838,16.365,21.305,19.654,18.788,17.892,17.941,18.219,2018
Democratic Republic of the Congo,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,10.388,11.162,10.92,10.781,11.096,11.478,11.784,12.192,2018
Republic of Congo,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,35.239,22.561,22.921,23.669,24.67,25.946,27.034,27.71,2018
Costa Rica,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,20.022,19.685,20.424,20.432,20.223,19.742,19.266,18.809,2018
Côte d'Ivoire,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,24.872,23.828,23.296,23.279,23.347,23.335,23.412,23.263,2018
Croatia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,45.321,46.44,46.602,46.108,46.015,45.867,45.713,45.642,2018
Cyprus,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,37.123,44.462,38.318,41.667,41.827,41.628,41.447,41.217,2018
Czech Republic,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,38.944,40.599,41.355,41.415,41.402,41.425,41.298,41.166,2018
Denmark,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,51.158,51.302,51.489,51.15,51.073,50.894,50.806,50.731,2018
Djibouti,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,28.123,26.721,24.615,23.371,23.084,21.135,20.521,20.043,2018
Dominica,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,54.637,57.801,49.361,43.778,34.571,34.301,29.416,29.303,2019
Dominican Republic,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,17.238,16.493,17.37,17.059,16.933,16.996,17.007,17.084,2018
Ecuador,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,36.511,37.054,34.909,34.515,32.643,32.228,31.89,31.975,2018
Egypt,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,32.19,30.107,28.098,27.388,25.258,24.135,23.654,23.64,2018
El Salvador,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,23.939,24.095,24.514,24.493,24.031,24.157,24.356,24.288,2018
Equatorial Guinea,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,19.88,18.464,16.575,16.576,15.872,14.821,15.061,15.221,2017
Eritrea,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,33.576,27.069,32.389,38.128,36.788,36.207,35.787,35.815,2018
Estonia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,39.007,38.97,39.801,40.183,39.932,39.939,39.648,39.65,2018
Eswatini,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,36.642,35.236,34.077,31.971,32.003,33.143,33.888,34.854,2019
Ethiopia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,18.247,16.083,15.436,14.437,13.901,13.938,13.943,13.96,2018
Fiji,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,29.404,32.637,29.361,28.967,28.954,28.962,28.948,28.954,2018
Finland,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,54.182,53.476,53.188,53.204,53.124,52.967,52.847,52.786,2018
France,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,56.38,56.039,55.65,54.502,54.188,54,53.956,53.942,2018
Gabon,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,18.114,17.085,16.701,18.298,17.819,17.33,17.138,16.662,2018
The Gambia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,24.248,21.632,23.495,23.616,23.615,23.116,22.424,22.138,2018
Georgia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,29.721,29.518,30.14,30.041,30.083,30.247,30.256,30.206,2017
Germany,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,44.42,44.567,45.237,45.194,45.13,45.077,44.992,44.934,2018
